Time,coal,firewood,heavy_fuel_oil,light_fuel_oil,milled_peat,natural_gas,oil_shale,peat_briquette,pellets,shale_oil,sod_peat,wood_chips,wood_waste_industrial
01-Jan-2009,0.000227562014135689,0.000558277945746087,0.00138184633236354,0.00716676353674804,0.0106977156946692,0.150324163218476,0.766373314196742,0,1.43990852616875e-05,0.0222776718133722,0.00584632506800053,0.0271580864785683,0.0079738746159164
01-Feb-2009,0.000252460213844376,0.000636608148285284,0.00169189062665062,0.00755201850327947,0.0168028180224114,0.1577919486925,0.753248497159774,0,7.49054438043316e-05,0.0211582049283856,0.00616716422721667,0.0278127103543901,0.00681077367945835
01-Mar-2009,0.000278217128142755,0.00061166973891092,0.00161943173672244,0.00485681641678092,0.0169281133429384,0.153193476159856,0.746754030244428,0,0.000112694254617942,0.0219895811662955,0.00632961814031156,0.0373499015576591,0.009976450113336
01-Apr-2009,0.000439507758716483,0.000764324518287884,0.000303047688469833,0.00410120835273174,0.0223888283560587,0.146034493899912,0.741512026247945,0,0.00016412768673783,0.0198129230040652,0.00602540379180187,0.0429895510310274,0.0154645576642459
01-May-2009,7.77617645679548e-06,8.84979049663692e-05,0.0001386542431127,0.00330594108284587,0.00695770252916753,0.0969455918868693,0.827907166525477,0,0.000533044353893239,0.0129678873637396,0.00293883030076457,0.0336244378435855,0.0145844697891218
01-Jun-2009,0,0,0.00048941604202353,0.00257867925313377,0.0047865807072252,0.0622768217130482,0.876823168918906,0,0.000310450474417911,0.0114802759260482,0.00227739772042355,0.0299440135288432,0.00903319571593056
01-Jul-2009,0,3.81943288740939e-05,0,0.00309837915311344,0.00722029432677397,0.0682436287029889,0.865987729421384,0,0,0.0156997447816169,0.00231088951608016,0.0298778421521537,0.00752329761701521
01-Aug-2009,0,0,0.000594119297674017,0.00422526479438793,0.00386713856748565,0.0743436832193812,0.874180558665639,0,0,0.0163003883258438,0.000288603573281562,0.0185771600058464,0.00762308355046021
01-Sep-2009,0,0.000122905624012788,0.0014817893708245,0.00373950490643303,0.0102550364856375,0.0590151837968068,0.857529955994834,0,0,0.0149014627795174,0.000122863417411135,0.0410495780127691,0.0117817196117533
01-Oct-2009,0.00027823170711935,0.000618537168667825,0.000363713404858151,0.00584646076143496,0.0123802614455433,0.154606256679298,0.719514082847925,0,5.74220831550514e-05,0.0227281068608947,0.00283258552087987,0.0651180899133701,0.0156562516068532
01-Nov-2009,0.000302402062007475,0.000929213252212387,0.00121565628927005,0.00655775942547354,0.0167750349656042,0.177446066994631,0.682596139944007,0,1.24375041632106e-05,0.0212822889252995,0.00666968476931091,0.0703375002597853,0.0158758156082356
01-Dec-2009,0.000323661908512756,0.00107922105193339,0.0009290597625908,0.00490226526938495,0.0136491485915436,0.191944163854479,0.685217782049058,4.89408127791466e-06,2.31109393679303e-05,0.0270373520198395,0.00598850660901811,0.0575098053099665,0.0113910285530272
01-Jan-2010,0.000257068522690085,0.000844441727845122,0.000826089042990932,0.00381054620656181,0.0133756314265289,0.179321661417762,0.723861630198048,4.36449104736987e-06,0.000117477550691706,0.0269200352971424,0.00441320967868613,0.0386841814549131,0.00756366298509198
01-Feb-2010,0.000268862512714053,0.000629691803970607,0.000693976847333119,0.00326703583997646,0.0124818951971025,0.167165888751766,0.742893514464854,4.97177442865518e-06,0.000112693553716184,0.0191213615897007,0.00552243987808231,0.0399245916057083,0.00791307618064759
01-Mar-2010,0.000210137123916953,0.000392153920949702,0.000346119458917843,0.00330866887563296,0.0123262861715932,0.14618945606395,0.765300962274279,7.37994581914378e-06,8.71243603648918e-05,0.0159098716955556,0.00609189927550922,0.0416718207274386,0.00815812010607349
01-Apr-2010,0.000214267349948046,0.000294348365510024,3.63474902528147e-05,0.00258574518621896,0.0128518818313315,0.108820568225358,0.788584167926161,0,0.000100764324830219,0.012370925571419,0.00497984727568207,0.0578744872577695,0.0112866491955191
01-May-2010,4.53852150650804e-05,5.94399913432989e-05,0,0.00257626163903027,0.00624434067515371,0.060563031409627,0.854974082927475,0,0.000179751479021197,0.00818105102527966,0.00262737084067278,0.054726801827199,0.0098224829701334
01-Jun-2010,0,0,0.00450955603963583,0.00228204622192633,0.00467841941943468,0.0329806231148169,0.888636621460711,0,0.000318129024598211,0.00715333778885337,0.00168458263975671,0.0484822875496278,0.00927439674063962
01-Jul-2010,0,0,0,0.00161082499221705,0.0037102993968485,0.0303876072466794,0.929078766955705,0,8.58099626207877e-05,0.00806655712342571,0.0012313729636083,0.0218985529009773,0.00393020845791785
01-Aug-2010,0,0,1.61720628639864e-05,0.00168412724802611,0.0115687475247215,0.0409684615708691,0.910324262029699,0,0,0.00851428938029812,0.00112447128895133,0.018367561199315,0.00743190769525586
01-Sep-2010,0,5.66412224361316e-05,0.00123714497260313,0.00279611150872938,0.00696089574564967,0.0506016874391627,0.875584581333266,0,0.000201604018810774,0.00809186782881298,0.000872787607347451,0.0441137427645744,0.00948293555860733
01-Oct-2010,0.000306005980300785,0.000410442860029246,0.000992051645813835,0.00317720271734174,0.00918396592455599,0.0903749486649519,0.825911644641449,0,0.000106192095482404,0.0109889153621421,0.00218168074161018,0.0451230804328915,0.0112438689334311
01-Nov-2010,0.000177388619988844,0.000555436195061844,0.00046471310026403,0.00318787984768808,0.0142851304217605,0.112002446379232,0.795912797419057,1.3005030790971e-06,0.000138792578608085,0.0130369364665115,0.00107529929590012,0.0481502595015174,0.011011619671331
01-Dec-2010,0.000177374300603549,0.000431795419987973,0.0013202827456667,0.00303154422387668,0.0154038422658499,0.14703361399658,0.759531059563477,0,0.000115751035522896,0.0160948467669883,0.00228234378688545,0.0438915567719298,0.010685989122632
01-Jan-2011,0.000143740302869924,0.00067578497164373,0.000706201318406661,0.00267614735065105,0.0143614643634417,0.133752957023826,0.77815936557887,0,5.3836885968491e-05,0.0170878993092438,0.00173522676980107,0.0434056756121499,0.00724170051312814
01-Feb-2011,0.000173226297529257,0.000712283966652402,0.000362578970548828,0.00328058490399167,0.0165102415477692,0.180743195827821,0.717698678654975,0,0.000281296070369307,0.024553342529174,0.00239643500605196,0.045212850307599,0.00807528591751796
01-Mar-2011,0.000148207941681121,0.000553755866401675,0.000421755180278587,0.00304747931983275,0.0132279837640484,0.131173616751044,0.777434585496637,0,0.000187384772143424,0.0136690152729426,0.00119978711283766,0.0502622798493537,0.00867414867279934
01-Apr-2011,0.000138389369227834,0.00035985935128922,0.000141678760007443,0.00277995617247053,0.0184228596118246,0.1047421517838,0.789080255245447,3.70056462706007e-05,6.65710038730383e-05,0.0115963653892244,0.000993425385002436,0.0588896890114408,0.0127517932701226
01-May-2011,4.79531380897082e-05,4.28793867047326e-05,6.99574409711952e-05,0.00146047276194467,0.0143764958188653,0.0545607711433855,0.862630596311039,0,0.000115048859529743,0.00703916295662776,0.000335343255600729,0.0468844405323621,0.0124368783948792
01-Jun-2011,0,0,0.00017215268997748,0.00139396013849708,0.00776566708408636,0.0356252545761899,0.912517201421003,0,0.000224733178458597,0.00392292523355237,6.75595971861656e-05,0.027162737756927,0.0111478083241225
01-Jul-2011,0,0,1.52400868116288e-05,0.00122179434772855,0.00386918129362747,0.0379416746334347,0.926967902273133,0,0.000117617834161887,0.00491816935849755,5.36246338185298e-05,0.0182278262186549,0.00666696932013196
01-Aug-2011,0,0,0.000182596417494626,0.00217719428885645,0.00499958983939055,0.0303490871042143,0.915039204177588,0,0.000101926955437299,0.00651043438597594,6.7042863736833e-05,0.0316829312230154,0.00888999274429061
01-Sep-2011,0,6.76141978143912e-06,1.61791116198722e-05,0.00172943434183464,0.00831983648633162,0.0398875873714789,0.889628273842733,0,0.000191573560474108,0.00658975819975588,0.000259892072849066,0.0380345961324478,0.0153361074606935
01-Oct-2011,0.00030091503289477,0.00044254738794896,0.000264365823346544,0.00253578897487481,0.0051386836322577,0.0861922243599959,0.833817605728675,0,0.000148012257623074,0.0107386042102511,0.00143775661463074,0.0444055297557285,0.0145779662217726
01-Nov-2011,0.000186168508618114,0.00034626293109341,0.000322282001687011,0.00242148790277046,0.0044291327729359,0.0866034853913701,0.839691470621123,0,0.000111508698005682,0.0122067478484291,0.0015131948963877,0.0380877271636429,0.0140805312639364
01-Dec-2011,9.36022859338911e-05,0.000419468308676445,0.000463932297791753,0.00240833542872725,0.00695841832401783,0.107711698252708,0.805688680379281,0,0.000197424176287363,0.0132683417783823,0.00155251614100508,0.0459703646133481,0.0152672180138412
01-Jan-2012,0.000125483169293075,0.000766499772172151,0.00105189013411322,0.00287871834983595,0.0102719105637851,0.157102904032844,0.727492288123183,0,0.000291227931498732,0.0174519693255583,0.00267879821756015,0.0635106750389789,0.0163776353411769
01-Feb-2012,0.000132981849773833,0.000393052805214374,0.000377228755306015,0.00269737680417999,0.0140596838656521,0.180870470881999,0.702105538005568,1.26998795412192e-06,0.000295060534674327,0.0231556480345732,0.00321529200284818,0.0601453595192601,0.0125510369529961
01-Mar-2012,0.000121897996606075,0.000371002450960747,2.8227531472144e-05,0.0013725724950505,0.0138338163839874,0.146333138159614,0.72445375838294,0,0.000241724569882726,0.0160818724383318,0.00325822601613821,0.0708572480473298,0.0230465155276859
