Technology,Country,Global warming,Stratospheric ozone depletion,Ionizing radiation,"Ozone formation, Human health",Fine particulate matter formation,"Ozone formation, Terrestrial ecosystems",Terrestrial acidification,Freshwater eutrophication,Marine eutrophication,Terrestrial ecotoxicity,Freshwater ecotoxicity,Marine ecotoxicity,Human carcinogenic toxicity,Human non-carcinogenic toxicity,Land use,Mineral resource scarcity,Fossil resource scarcity,Water consumption
other_biogas,CZ,345.3759723,0.00129608,7.379338814,0.651774059,0.08656705,0.660963528,9.008573942,0.402944846,0.084247227,138.3859614,36.4699903,10.67224709,0.106596896,4.925282201,44.29541411,0.455656374,32.9793508,3.529484379
windon,CZ,21.33299348,5.96245E-06,0.97242257,0.054645613,0.020380848,0.057031451,0.078588547,0.01397877,0.001147557,88.25953452,7.195007696,1.85177918,0.014129903,0.822755498,1.368753432,0.398742115,4.991446374,0.206270481
biomass,CZ,51.57920698,0.000277941,0.851958975,1.455801546,0.096825357,1.479235611,1.149228289,0.009161888,0.00123956,557.3981701,2.567746525,1.001194243,0.186847393,1.643055727,700.3922819,0.163565244,12.04367135,0.200680858
solar,CZ,117.7740583,4.126E-05,10.46207659,0.273387261,0.104941752,0.286711419,0.522773471,0.096194487,0.009221263,1285.902325,26.93718385,7.622398799,0.041472103,5.284632685,3.110494578,1.262183415,27.00810644,3.601567752
hydro_reservoir,CZ,62.31988796,2.04531E-06,0.470092095,0.017406227,0.004732531,0.017749016,0.016033706,0.00181052,0.000107569,8.384096799,0.211352824,0.071410793,0.002461443,0.078456924,0.118529778,0.061080684,1.002440495,29.30062772
blast_furnace,CZ,952.6815265,0.000104712,6.536715169,1.746081909,0.728558151,1.8657433,2.241583796,0.215494895,0.013899803,266.0505488,8.426393108,2.900462714,0.233857381,5.007450416,7.349041674,19.52254714,136.5585309,2.346415348
waste,CZ,1001.985224,0.000593197,11.96868222,3.200394055,0.158576603,3.241484482,5.020722794,0.024724625,0.002639689,1316.665096,2.913080503,1.623761482,0.653573557,4.537799294,226.2152446,0.318800334,317.88681,40.99564609
nuclear_PWR,CZ,12.9375931,2.36091E-05,688.2467,0.039777959,0.028138199,0.040507717,0.045969533,0.008472352,0.012437596,91.8420255,0.844877076,0.302116577,0.006873444,1.499163107,0.290579616,0.91665853,2.990996338,3.077216502
coal_chp,CZ,1889.377641,0.000160332,12.58791205,3.908766261,0.185445469,3.929201329,3.455407778,0.908233904,0.05782512,167.8763971,29.75482346,10.13910197,0.282390683,5.291779871,15.54453757,0.330527015,428.4974542,76.97213326
gas_chp,DE,480.6265147,0.000223316,0.506277401,0.351228941,0.012021441,0.367879386,0.318183897,0.004282755,0.000286772,17.38549282,0.398522789,0.273486356,0.006020441,0.249464829,0.223661011,0.09460359,174.209797,0.618200963
gas,DE,800.4636105,0.000431943,0.761999645,0.810347222,0.018089643,0.836971459,0.594215173,0.006104642,0.000416449,19.86877859,0.536155239,0.403381823,0.008749732,0.351224848,0.330188375,0.123622621,279.6263234,0.820443967
coal,DE,1202.443383,0.000333424,7.608765911,1.572552955,0.115146831,1.584908383,2.075906903,0.534521487,0.0353648,140.034629,16.49051637,5.510914101,0.164421755,2.999858241,9.163515845,0.23891143,256.3401361,2.054728658
oil,DE,895.2075288,0.000238666,8.431592688,0.9758032,0.100368702,1.005650405,2.535073634,0.017889622,0.001795595,490.0149764,1.483792975,0.794989536,0.363946523,2.926067693,1.582607568,0.182321498,285.2288044,2.574691739
hydro_runof,DE,4.431406692,8.68035E-07,0.242796962,0.01532338,0.005135698,0.015676103,0.012723863,0.001491898,7.1428E-05,6.075955191,0.181731241,0.0616965,0.001905055,0.072697337,0.178394132,0.051202688,0.804620512,0.051835572
